"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_hh[1]","log_ninetile_hh",1.00885718426272,0.928400552524329,1.09295658554782,0.00881818949294184,0.00156988924169483,0.0408526727444471,1.00235332109672,"All contacts"
"2","sigma0_loc","sigma0_loc",1.19433926328117,1.13437811583486,1.27074735255165,0.177593114711743,0.000567187040541727,0.0286943790757973,1.00076353959212,"All contacts"
"3","sigma0_hh","sigma0_hh",1.37089847804691,1.3098102069938,1.4360447309401,0.315466348273753,0.00128367864899428,0.0230555058649931,1.01209050922383,"All contacts"
"4","sigma0_rd","sigma0_rd",1.25107228176861,1.06265034095916,2.12709423415089,0.224001009007152,0.0373211126087113,0.49319192986386,1.02523280392281,"All contacts"
"5","sigma0_part","sigma0_part",1.65496397544755,1.60395626235049,1.70881825669913,0.503779241490942,0.000753472497998537,0.0161223707745174,1.01129538943284,"All contacts"
"6","sigma0_obs","sigma0_obs",1.95702970599132,1.92587728300697,1.98935122119603,0.671427867650454,0.000196822474255729,0.00835662963591807,1.00239487100133,"All contacts"
"7","B_hh[1]","log_ninetile_hh",1.10004414459205,0.979854376677097,1.23544821814577,0.0953503104464008,0.00228791146333843,0.059842667392621,1.00440583062462,"Extra-household contacts"
"8","sigma0_loc","sigma0_loc",1.2554380022375,1.16733266848921,1.3704522755276,0.227484517462334,0.00084075460129441,0.0410149129332255,1.00012624478616,"Extra-household contacts"
"9","sigma0_hh","sigma0_hh",1.49070459043065,1.3697761792347,1.61038299449211,0.399248887668756,0.00350729870178052,0.0414089297041005,1.03985642949927,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",1.50785292128929,1.13460911762164,3.99904180844109,0.410686732527648,0.0162997845987573,0.368381895987648,1.00804988337357,"Extra-household contacts"
"11","sigma0_part","sigma0_part",2.29242143209765,2.18198011643171,2.41679894592736,0.829608652848064,0.00140753158693047,0.0260773004461618,1.01581245392005,"Extra-household contacts"
"12","sigma0_obs","sigma0_obs",2.8575065887758,2.77697148814411,2.94007152064555,1.04994942246748,0.000336408097028366,0.0146784172475094,0.999246522207676,"Extra-household contacts"
